Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Washington Park Tennis Center,33.757363202215636,-84.42455380823512,Tennis Court
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Washington Park,33.75830606040731,-84.42143903462213,Park
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Busy Bee Cafe,33.75457669375526,-84.41402351728894,Southern / Soul Food Restaurant
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Trail
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Atlanta BeltLine Corridor over MLK,33.75079043619542,-84.4263625290385,Trail
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Johnny M's Pizza Bistro,33.75459880227053,-84.41715745793665,Pizza Place
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Atlanta BeltLine Langhorn to Westview,33.75055754934729,-84.42751128498378,Trail
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Ray Charles Performing Arts Center - Morehouse College,33.74403350961334,-84.41682368516922,Concert Hall
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,West End Park,33.7419260872835,-84.42497270942442,Park
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Murrell's Cafe,33.7540046,-84.4094726,Buffet
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Tassili's Raw Reality,33.738452543005025,-84.42239362336925,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Mr. Everything,33.75473934775971,-84.41613145969792,Sandwich Place
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Mercedes-Benz Stadium,33.75529816886493,-84.40094232559204,Football Stadium
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Marquette Club,33.7630563515035,-84.4160086081655,Gay Bar
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Dat Fire Jerk Chicken,33.74824848726636,-84.40474835741236,Caribbean Restaurant
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,WABE Atlanta BeltLine Arboretum,33.74719890576277,-84.43851563744126,Park
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Mercedes-Benz Club,33.755579030221824,-84.40068474381265,Sports Club
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Falcon Statue,33.756378355326085,-84.39947789168252,Outdoor Sculpture
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,GME Sports Lounge and Grill,33.75496691836046,-84.41701085413338,Sports Bar
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Hammond House Museum,33.74124073312512,-84.42093662287472,Art Museum
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Wine Shoe,33.75155944634878,-84.39893717875819,Wine Shop
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Bottle Rocket,33.75010863762334,-84.4009792494901,Sushi Restaurant
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Falcons Landing,33.75754013039289,-84.40074758864834,Park
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Castleberry Hill,33.74823311903689,-84.40173625946045,Neighborhood
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Lean Draft House,33.73818447735798,-84.43062304337771,Beer Bar
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Trail
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,ZuCot Gallery,33.75246342380723,-84.39901078439426,Art Gallery
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,No Mas! Cantina,33.74978494481774,-84.40084694024087,Mexican Restaurant
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,The Home Depot Backyard,33.75663371891413,-84.40108180410456,Park
Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Washington Park Natatorium,33.758311436382456,-84.4219885864156,Pool
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,WABE Atlanta BeltLine Arboretum,33.74719890576277,-84.43851563744126,Park
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor over MLK,33.75079043619542,-84.4263625290385,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,West End Park,33.7419260872835,-84.42497270942442,Park
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Langhorn to Westview,33.75055754934729,-84.42751128498378,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Washington Park Tennis Center,33.757363202215636,-84.42455380823512,Tennis Court
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor under Lucile Ave,33.742318,-84.433945,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Tassili's Raw Reality,33.738452543005025,-84.42239362336925,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Lean Draft House,33.73818447735798,-84.43062304337771,Beer Bar
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Busy Bee Cafe,33.75457669375526,-84.41402351728894,Southern / Soul Food Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Ray Charles Performing Arts Center - Morehouse College,33.74403350961334,-84.41682368516922,Concert Hall
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,The Big Apple Inn -Atlanta,33.743103999999995,-84.437842,Southern / Soul Food Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Washington Park,33.75830606040731,-84.42143903462213,Park
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor under Ralph David Abernathy Blvd,33.739007,-84.433123,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Hammond House Museum,33.74124073312512,-84.42093662287472,Art Museum
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Yasin's Homestyle Seafood,33.738194316233326,-84.42303581282673,Seafood Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Johnny M's Pizza Bistro,33.75459880227053,-84.41715745793665,Pizza Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Westview Cemetery,33.747015461499025,-84.44804662972923,Cemetery
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Q-Time Restaurant,33.73809580614483,-84.42437911958231,Southern / Soul Food Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Greens and Gravy,33.743103999999995,-84.437842,New American Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Sl***y Vegan,33.744971,-84.439568,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Healthful Essence,33.73738076364708,-84.41646271933033,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Mr. Everything,33.75473934775971,-84.41613145969792,Sandwich Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Krispy Kreme Doughnuts,33.7379082,-84.4159492,Donut Shop
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,600 Degrees Pizza,33.73912493864348,-84.41736145327441,Pizza Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Wren's Nest House Museum,33.73774927735779,-84.4223321416356,Museum
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,A-Town Wings,33.77025578890748,-84.44409771652073,Wings Joint
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Marquette Club,33.7630563515035,-84.4160086081655,Gay Bar
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Popeyes Louisiana Kitchen,33.740866149845665,-84.41445201627046,Fried Chicken Joint
